tramtyp_id,mean,median,sd,n
1,50.534628665232646,11,133.95849162522626,70664
2,19.692725902735152,7,85.3308654280676,108568826
3,19.327551308322835,6,82.26908509101298,113075955
4,27.171182756126495,12,101.88246050993581,5108365
