year,mean,median,sd,n
2016,23.861302289665193,12,68.97863492544163,32330887
2017,25.2441859272133,12,78.00833109547463,32164802
2018,24.98449263349419,10,85.09108942331333,33390389
2019,24.82510795041334,9,91.20072389631936,33441280
2020,10.341299678147466,1,73.3350650547655,32366998
2021,12.357923193575461,1,97.82564479977101,32973049
2022,16.908397197649826,4,90.96292454298079,31527256
